법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
287495,현행,항공안전법 시행령,,012843,20260630,36476,일부개정,1613000,국토교통부,대통령령,,20260709,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287495&type=HTML&mobileYn=&efYd=20260709
287951,현행,항공안전법 시행규칙,,012848,20260701,01601,일부개정,1613000,국토교통부,국토교통부령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287951&type=HTML&mobileYn=&efYd=20260701
259513,현행,항공우주산업개발 촉진법,항공우주산업법,000325,20240130,20169,타법개정,1834100,우주항공청,법률,,20240731,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=259513&type=HTML&mobileYn=&efYd=20240731
283009,현행,항공우주산업개발 촉진법 시행령,항공우주산업법 시행령,005518,20260127,36055,타법개정,1834100,우주항공청,대통령령,,20260201,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283009&type=HTML&mobileYn=&efYd=20260201
262901,현행,항공우주산업개발 촉진법 시행규칙,항공우주산업법 시행규칙,008644,20240527,00126,타법개정,1834100,우주항공청,과학기술정보통신부령,,20240527,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=262901&type=HTML&mobileYn=&efYd=20240527
206558,현행,항공정보간행물발간규정,,008647,20190102,00575,타법개정,1613000,국토교통부,국토교통부령,,20190102,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=206558&type=HTML&mobileYn=&efYd=20190102
283035,현행,항공ㆍ철도 사고조사에 관한 법률,항공철도사고조사법,010062,20260127,21317,일부개정,1092000,국무조정실,법률,,20260228,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283035&type=HTML&mobileYn=&efYd=20260228
283655,현행,항공ㆍ철도 사고조사에 관한 법률 시행령,항공철도사고조사법 시행령,010222,20260227,36154,일부개정,1092000,국무조정실,대통령령,,20260228,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283655&type=HTML&mobileYn=&efYd=20260228
283821,현행,항공ㆍ철도 사고조사에 관한 법률 시행규칙,항공철도사고조사법 시행규칙,010224,20260227,02099,일부개정,1092000,국무조정실,총리령,,20260228,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283821&type=HTML&mobileYn=&efYd=20260228
270843,현행,항로표지법,,000049,20250422,20947,일부개정,1192000,해양수산부,법률,,20251023,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=270843&type=HTML&mobileYn=&efYd=20251023
287205,현행,항로표지법 시행령,,005526,20260623,36423,타법개정,1192000,해양수산부,대통령령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287205&type=HTML&mobileYn=&efYd=20260701
279303,현행,항로표지법 시행규칙,,008648,20251028,00767,일부개정,1192000,해양수산부,해양수산부령,,20251028,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=279303&type=HTML&mobileYn=&efYd=20251028
277089,현행,항만공사법,,009512,20251001,21065,타법개정,1192000,해양수산부,법률,,20260102,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=277089&type=HTML&mobileYn=&efYd=20260102
